Min X value: -32,3437
Min Y value: -1,386957
Min Z value: -14,14214
Max X value: 33,24452
Max Y value: 12,13564
Max Z value: 22,71121
Key: charpos in X , Y , Z , Time since start capture
0 , 0 , 0 , 7,24
0 , 0 , 0 , 7,26
0 , 0 , 0 , 7,28
0 , 0 , 0 , 7,3
0 , 0 , 0 , 7,32
0 , 0 , 0 , 7,34
0 , 0 , 0 , 7,36
0 , 0 , 0 , 7,38
0 , 0 , 0 , 7,4
0 , 0 , 0 , 7,42
0 , 0 , 0 , 7,44
0 , 0 , 0 , 7,46
0 , 0 , 0 , 7,48
0 , 0 , 0 , 7,5
0 , 0 , 0 , 7,52
0 , 0 , 0 , 7,54
0 , 0 , 0 , 7,56
0 , 0 , 0 , 7,58
0 , 0 , 0 , 7,6
0 , 0 , 0 , 7,62
0 , 0 , 0 , 7,64
0 , 0 , 0 , 7,66
0 , 0 , 0 , 7,68
0 , 0 , 0 , 7,7
0 , 0 , 0 , 7,72
0 , 0 , 0 , 7,74
0 , 0 , 0 , 7,76
0 , 0 , 0 , 7,78
0 , 0 , 0 , 7,8
0 , 0 , 0 , 7,82
0 , 0 , 0 , 7,84
0 , 0 , 0 , 7,86
0 , 0 , 0 , 7,88
0 , 0 , 0 , 7,9
0 , 0 , 0 , 7,92
0 , 0 , 0 , 7,94
0 , 0 , 0 , 7,96
0 , 0 , 0 , 7,98
0 , 0 , 0 , 8
0 , 0 , 0 , 8,02
0 , 0 , 0 , 8,04
0 , 0 , 0 , 8,059999
0 , 0 , 0 , 8,08
0 , 0 , 0 , 8,099999
0 , 0 , 0 , 8,12
0 , 0 , 0 , 8,139999
0 , 0 , 0 , 8,16
0 , 0 , 0 , 8,179999
0 , 0 , 0 , 8,2
0 , 0 , 0 , 8,22
0 , 0 , 0 , 8,24
0 , 0 , 0 , 8,26
0 , 0 , 0 , 8,28
0 , 0 , 0 , 8,3
0 , 0 , 0 , 8,32
0 , 0 , 0 , 8,34
0 , 0 , 0 , 8,36
0 , 0 , 0 , 8,38
0 , 0 , 0 , 8,4
0 , 0 , 0 , 8,42
0 , 0 , 0 , 8,44
0 , 0 , 0 , 8,46
0 , 0 , 0 , 8,48
0 , 0 , 0 , 8,5
0 , 0 , 0 , 8,52
0 , 0 , 0 , 8,54
0 , 0 , 0 , 8,559999
0 , 0 , 0 , 8,58
0 , 0 , 0 , 8,599999
0 , 0 , 0 , 8,62
0 , 0 , 0 , 8,639999
0 , 0 , 0 , 8,66
0 , 0 , 0 , 8,679999
0 , 0 , 0 , 8,7
0 , 0 , 0 , 8,72
0 , 0 , 0 , 8,74
0 , 0 , 0 , 8,76
0 , 0 , 0 , 8,78
0 , 0 , 0 , 8,8
0 , 0 , 0 , 8,82
0 , 0 , 0 , 8,84
0 , 0 , 0 , 8,86
0 , 0 , 0 , 8,88
0 , 0 , 0 , 8,9
0 , 0 , 0 , 8,92
0 , 0 , 0 , 8,94
0 , 0 , 0 , 8,96
0 , 0 , 0 , 8,98
0 , 0 , 0 , 9
0 , 0 , 0 , 9,02
0 , 0 , 0 , 9,04
0 , 0 , 0 , 9,059999
0 , 0 , 0 , 9,08
0 , 0 , 0 , 9,099999
0 , 0 , 0 , 9,12
0 , 0 , 0 , 9,139999
0 , 0 , 0 , 9,16
0 , 0 , 0 , 9,179999
0 , 0 , 0 , 9,2
0 , 0 , 0 , 9,22
0 , 0 , 0 , 9,24
0 , 0 , 0 , 9,26
0 , 0 , 0 , 9,28
0 , 0 , 0 , 9,3
0 , 0 , 0 , 9,32
0 , 0 , 0 , 9,34
0 , 0 , 0 , 9,36
0 , 0 , 0 , 9,38
0 , 0 , 0 , 9,4
0 , 0 , 0 , 9,42
0 , 0 , 0 , 9,44
0 , 0 , 0 , 9,46
0 , 0 , 0 , 9,48
0 , 0 , 0 , 9,5
0 , 0 , 0 , 9,52
0 , 0 , 0 , 9,54
0 , 0 , 0 , 9,559999
0 , 0 , 0 , 9,58
0 , 0 , 0 , 9,599999
0 , 0 , 0 , 9,62
0 , 0 , 0 , 9,639999
0 , 0 , 0 , 9,66
0 , 0 , 0 , 9,679999
0 , 0 , 0 , 9,7
0 , 0 , 0 , 9,719999
0 , 0 , 0 , 9,74
0 , 0 , 0 , 9,76
0 , 0 , 0 , 9,78
0 , 0 , 0 , 9,8
0 , 0 , 0 , 9,82
0 , 0 , 0 , 9,84
0 , 0 , 0 , 9,86
0 , 0 , 0 , 9,88
0 , 0 , 0 , 9,9
0 , 0 , 0 , 9,92
0 , 0 , 0 , 9,94
0 , 0 , 0 , 9,96
0 , 0 , 0 , 9,98
0 , 0 , 0 , 10
0 , 0 , 0 , 10,02
0 , 0 , 0 , 10,04
0 , 0 , 0 , 10,06
0 , 0 , 0 , 10,08
0 , 0 , 0 , 10,1
0 , 0 , 0 , 10,12
0 , 0 , 0 , 10,14
0 , 0 , 0 , 10,16
0 , 0 , 0 , 10,18
0 , 0 , 0 , 10,2
0 , 0 , 0 , 10,22
0 , 0 , 0 , 10,24
0 , 0 , 0 , 10,26
0 , 0 , 0 , 10,28
0 , 0 , 0 , 10,3
0 , 0 , 0 , 10,32
0 , 0 , 0 , 10,34
0 , 0 , 0 , 10,36
0 , 0 , 0 , 10,38
0 , 0 , 0 , 10,4
0 , 0 , 0 , 10,42
0 , 0 , 0 , 10,44
0 , 0 , 0 , 10,46
0 , 0 , 0 , 10,48
0 , 0 , 0 , 10,5
0 , 0 , 0 , 10,52
0 , 0 , 0 , 10,54
0 , 0 , 0 , 10,56
0 , 0 , 0 , 10,58
0 , 0 , 0 , 10,6
0 , 0 , 0 , 10,62
0 , 0 , 0 , 10,64
0 , 0 , 0 , 10,66
0 , 0 , 0 , 10,68
0 , 0 , 0 , 10,7
0 , 0 , 0 , 10,72
0 , 0 , 0 , 10,74
0 , 0 , 0 , 10,76
0 , 0 , 0 , 10,78
0 , 0 , 0 , 10,8
0 , 0 , 0 , 10,82
0 , 0 , 0 , 10,84
0 , 0 , 0 , 10,86
0 , 0 , 0 , 10,88
0 , 0 , 0 , 10,9
0 , 0 , 0 , 10,92
0 , 0 , 0 , 10,94
0 , 0 , 0 , 10,96
0 , 0 , 0 , 10,98
0 , 0 , 0 , 11
0 , 0 , 0 , 11,02
0 , 0 , 0 , 11,04
